package,benchmark,ns_per_op,us_per_op,ms_per_op,bytes_per_op,allocs_per_op
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,30657.0,30.657,0.030657,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,30193.0,30.193,0.030193,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,31265.0,31.265,0.031265,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,29929.0,29.929,0.029929,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,30122.0,30.122,0.030122,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,30288.0,30.288,0.030288,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,29963.0,29.963,0.029963,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,30082.0,30.082,0.030082,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,31032.0,31.032,0.031032,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_1,30072.0,30.072,0.030072,1600.0,12.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36161.0,36.161,0.036161,6784.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36154.0,36.154,0.036154,6785.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,37741.0,37.741,0.037741,6784.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,35868.0,35.868,0.035868,6785.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36048.0,36.048,0.036048,6785.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,35698.0,35.698,0.035698,6785.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36173.0,36.173,0.036173,6784.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36234.0,36.234,0.036234,6785.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36115.0,36.115,0.036115,6785.0,48.0
cryptna-lab/common/attest,BenchmarkVerifyHistoryEvidence/events_10,36594.0,36.594,0.036594,6785.0,48.0
