goos: linux
goarch: amd64
pkg: cryptna-lab/common/attest
cpu: Intel(R) Core(TM) 7 240H
BenchmarkVerifyHistoryEvidence/events_1-2         	   39178	     30657 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   38078	     30193 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   38518	     31265 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   39387	     29929 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   38710	     30122 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   38491	     30288 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   37975	     29963 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   36774	     30082 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   38672	     31032 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_1-2         	   38641	     30072 ns/op	    1600 B/op	      12 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   33096	     36161 ns/op	    6784 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32784	     36154 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32923	     37741 ns/op	    6784 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32702	     35868 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32883	     36048 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32570	     35698 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   31809	     36173 ns/op	    6784 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32425	     36234 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   30837	     36115 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_10-2        	   32889	     36594 ns/op	    6785 B/op	      48 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12854	     92642 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12762	     93522 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12888	     93829 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12537	     93238 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12627	     93079 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12704	     93669 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12901	     93881 ns/op	   58632 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12740	     95419 ns/op	   58633 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12777	     94440 ns/op	   58633 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_100-2       	   12837	     92521 ns/op	   58633 B/op	     408 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1670	    668371 ns/op	  577127 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1666	    672947 ns/op	  577130 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1731	    684512 ns/op	  577124 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1678	    687367 ns/op	  577126 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1683	    674459 ns/op	  577125 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1670	    671762 ns/op	  577126 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1735	    678806 ns/op	  577129 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1692	    667984 ns/op	  577127 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1648	    679471 ns/op	  577128 B/op	    4008 allocs/op
BenchmarkVerifyHistoryEvidence/events_1000-2      	    1550	    686448 ns/op	  577129 B/op	    4008 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2354984	       509.4 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2369637	       504.8 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2397192	       501.4 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2389126	       504.5 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2283103	       499.0 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2396343	       498.2 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2405197	       500.2 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2393156	       503.6 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2356981	       509.7 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementEvent-2                   	 2257860	       494.6 ns/op	     512 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1968567	       609.9 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1959159	       607.1 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1942614	       606.7 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1940773	       611.4 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1925265	       608.1 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1971302	       602.5 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1963166	       598.8 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1985119	       606.5 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1985971	       607.3 ns/op	     592 B/op	       4 allocs/op
BenchmarkHashEnforcementCheckpoint-2              	 1911740	       605.8 ns/op	     592 B/op	       4 allocs/op
PASS
ok  	cryptna-lab/common/attest	98.900s
goos: linux
goarch: amd64
pkg: cryptna-lab/verifier
cpu: Intel(R) Core(TM) 7 240H
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    5079	    236048 ns/op	  156103 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    5203	    234991 ns/op	  156097 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4648	    230724 ns/op	  156105 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4717	    235877 ns/op	  156100 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    5155	    232315 ns/op	  156095 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4464	    232346 ns/op	  156101 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4402	    232008 ns/op	  156101 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4519	    235530 ns/op	  156101 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4588	    230023 ns/op	  156101 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_100-2         	    4530	    230034 ns/op	  156104 B/op	    2436 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     508	   2109487 ns/op	 1580481 B/op	   24946 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     559	   2101210 ns/op	 1580540 B/op	   24947 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     559	   2080731 ns/op	 1580591 B/op	   24947 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     554	   2110584 ns/op	 1580559 B/op	   24947 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     565	   2075763 ns/op	 1580614 B/op	   24947 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     489	   2120034 ns/op	 1580534 B/op	   24946 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     564	   2079878 ns/op	 1580574 B/op	   24947 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     561	   2090363 ns/op	 1580567 B/op	   24946 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     552	   2106730 ns/op	 1580541 B/op	   24947 allocs/op
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     562	   2091850 ns/op	 1580554 B/op	   24946 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  392557	      2628 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  411110	      2602 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  464838	      2596 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  410146	      2614 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  402260	      2546 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  406554	      2562 ns/op	    1536 B/op	      51 allocs/op
