trial,case,attestation_enabled,xfrm_mode,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
1,baseline,0,apply,baseline-first,50,3,50,0,29.048,24.172,17.996,118.086,40.123,108.788
1,history_bound,1,apply,baseline-first,50,3,50,0,33.916,28.716,19.193,115.920,66.320,98.826
2,baseline,0,apply,history-first,50,3,50,0,30.250,26.399,17.413,144.591,47.979,105.476
2,history_bound,1,apply,history-first,50,3,50,0,30.511,26.191,19.832,97.150,50.971,92.461
3,baseline,0,apply,baseline-first,50,3,50,0,28.212,25.460,17.836,91.779,41.433,68.850
3,history_bound,1,apply,baseline-first,50,3,50,0,23.808,23.552,19.808,33.617,28.953,32.376
4,baseline,0,apply,history-first,50,3,50,0,27.519,24.427,18.067,106.527,40.640,78.238
4,history_bound,1,apply,history-first,50,3,50,0,30.458,27.663,21.589,81.053,43.226,65.233
5,baseline,0,apply,baseline-first,50,3,50,0,27.647,25.503,18.196,64.283,43.578,59.489
5,history_bound,1,apply,baseline-first,50,3,50,0,23.675,22.715,19.008,38.814,30.611,37.577
6,baseline,0,apply,history-first,50,3,50,0,26.862,23.822,17.780,66.063,41.342,61.369
6,history_bound,1,apply,history-first,50,3,50,0,34.187,27.989,19.281,144.056,68.656,119.934
7,baseline,0,apply,baseline-first,50,3,50,0,30.088,25.431,18.216,120.070,55.493,99.385
7,history_bound,1,apply,baseline-first,50,3,50,0,31.247,27.345,20.294,101.828,46.374,76.869
8,baseline,0,apply,history-first,50,3,50,0,28.928,25.648,17.870,110.879,47.056,85.130
8,history_bound,1,apply,history-first,50,3,50,0,30.943,28.044,19.727,64.130,50.288,63.621
9,baseline,0,apply,baseline-first,50,3,50,0,29.123,25.916,17.212,83.786,51.377,75.828
9,history_bound,1,apply,baseline-first,50,3,50,0,23.470,22.974,19.614,32.682,28.996,32.144
10,baseline,0,apply,history-first,50,3,50,0,29.757,26.165,18.081,81.748,53.196,70.273
10,history_bound,1,apply,history-first,50,3,50,0,33.444,30.299,20.608,115.044,55.505,88.141
