group,metric,trials,N_per_trial,mean,median,min,max,stdev
baseline,success_rate_percent,10,50,100.000,100.000,100.000,100.000,0.000
baseline,avg_ms,10,50,28.743,28.988,26.862,30.250,1.150
baseline,median_ms,10,50,25.294,25.482,23.822,26.399,0.867
baseline,p95_ms,10,50,46.222,45.317,40.123,55.493,5.647
baseline,p99_ms,10,50,81.283,77.033,59.489,108.788,17.860
baseline,min_ms,10,50,17.867,17.933,17.212,18.216,0.329
baseline,max_ms,10,50,98.781,99.153,64.283,144.591,25.724
history_bound,success_rate_percent,10,50,100.000,100.000,100.000,100.000,0.000
history_bound,avg_ms,10,50,29.566,30.727,23.470,34.187,4.304
history_bound,median_ms,10,50,26.549,27.504,22.715,30.299,2.615
history_bound,p95_ms,10,50,46.990,48.331,28.953,68.656,14.431
history_bound,p99_ms,10,50,70.718,71.051,32.144,119.934,30.117
history_bound,min_ms,10,50,19.895,19.767,19.008,21.589,0.768
history_bound,max_ms,10,50,82.429,89.102,32.682,144.056,38.977
overhead_delta_ms,avg_ms,10,50,0.822,1.587,-5.653,7.325,4.287
overhead_delta_percent,avg_ms,10,50,2.939,5.409,-19.411,27.269,15.263
overhead_delta_ms,median_ms,10,50,1.254,2.155,-2.942,4.544,2.969
overhead_delta_percent,median_ms,10,50,5.164,8.434,-11.352,18.799,11.865
overhead_delta_ms,p95_ms,10,50,0.768,2.448,-22.381,27.314,16.213
overhead_delta_percent,p95_ms,10,50,3.530,5.288,-43.562,66.068,37.430
overhead_delta_ms,p99_ms,10,50,-10.564,-17.262,-43.684,58.565,29.362
overhead_delta_percent,p99_ms,10,50,-11.260,-19.639,-57.609,95.431,44.261
overhead_delta_ms,min_ms,10,50,2.029,2.025,0.812,3.522,0.764
overhead_delta_percent,min_ms,10,50,11.373,11.232,4.463,19.494,4.287
overhead_delta_ms,max_ms,10,50,-16.352,-25.472,-58.162,77.993,42.925
overhead_delta_percent,max_ms,10,50,-12.111,-28.362,-63.372,118.059,54.870
script,completed_trials,10,50,10,10,10,10,0
