trial,metric,baseline_apply,history_bound_apply,delta_ms,delta_percent
1,avg_ms,29.048,33.916,4.868,16.758
1,median_ms,24.172,28.716,4.544,18.799
1,p95_ms,40.123,66.320,26.197,65.292
1,p99_ms,108.788,98.826,-9.962,-9.157
1,min_ms,17.996,19.193,1.197,6.651
1,max_ms,118.086,115.920,-2.166,-1.834
2,avg_ms,30.250,30.511,0.261,0.863
2,median_ms,26.399,26.191,-0.208,-0.788
2,p95_ms,47.979,50.971,2.992,6.236
2,p99_ms,105.476,92.461,-13.015,-12.339
2,min_ms,17.413,19.832,2.419,13.892
2,max_ms,144.591,97.150,-47.441,-32.810
3,avg_ms,28.212,23.808,-4.404,-15.610
3,median_ms,25.460,23.552,-1.908,-7.494
3,p95_ms,41.433,28.953,-12.480,-30.121
3,p99_ms,68.850,32.376,-36.474,-52.976
3,min_ms,17.836,19.808,1.972,11.056
3,max_ms,91.779,33.617,-58.162,-63.372
4,avg_ms,27.519,30.458,2.939,10.680
4,median_ms,24.427,27.663,3.236,13.248
4,p95_ms,40.640,43.226,2.586,6.363
4,p99_ms,78.238,65.233,-13.005,-16.622
4,min_ms,18.067,21.589,3.522,19.494
4,max_ms,106.527,81.053,-25.474,-23.913
5,avg_ms,27.647,23.675,-3.972,-14.367
5,median_ms,25.503,22.715,-2.788,-10.932
5,p95_ms,43.578,30.611,-12.967,-29.756
5,p99_ms,59.489,37.577,-21.912,-36.834
5,min_ms,18.196,19.008,0.812,4.463
5,max_ms,64.283,38.814,-25.469,-39.620
6,avg_ms,26.862,34.187,7.325,27.269
6,median_ms,23.822,27.989,4.167,17.492
6,p95_ms,41.342,68.656,27.314,66.068
6,p99_ms,61.369,119.934,58.565,95.431
6,min_ms,17.780,19.281,1.501,8.442
6,max_ms,66.063,144.056,77.993,118.059
7,avg_ms,30.088,31.247,1.159,3.852
7,median_ms,25.431,27.345,1.914,7.526
7,p95_ms,55.493,46.374,-9.119,-16.433
7,p99_ms,99.385,76.869,-22.516,-22.655
7,min_ms,18.216,20.294,2.078,11.408
7,max_ms,120.070,101.828,-18.242,-15.193
8,avg_ms,28.928,30.943,2.015,6.966
8,median_ms,25.648,28.044,2.396,9.342
8,p95_ms,47.056,50.288,3.232,6.868
8,p99_ms,85.130,63.621,-21.509,-25.266
8,min_ms,17.870,19.727,1.857,10.392
8,max_ms,110.879,64.130,-46.749,-42.162
9,avg_ms,29.123,23.470,-5.653,-19.411
9,median_ms,25.916,22.974,-2.942,-11.352
9,p95_ms,51.377,28.996,-22.381,-43.562
9,p99_ms,75.828,32.144,-43.684,-57.609
9,min_ms,17.212,19.614,2.402,13.955
9,max_ms,83.786,32.682,-51.104,-60.993
10,avg_ms,29.757,33.444,3.687,12.390
10,median_ms,26.165,30.299,4.134,15.800
10,p95_ms,53.196,55.505,2.309,4.341
10,p99_ms,70.273,88.141,17.868,25.427
10,min_ms,18.081,20.608,2.527,13.976
10,max_ms,81.748,115.044,33.296,40.730
