trial,case,attestation_enabled,pep_state_persistence,case_order,runs,warmup_runs,ok,failed,avg_ms,median_ms,min_ms,max_ms,p95_ms,p99_ms
1,baseline,0,disabled,baseline-first,1000,20,1000,0,1.022,0.920,0.773,8.738,1.562,2.401
1,history_bound,1,disabled,baseline-first,1000,20,1000,0,1.321,1.082,0.886,22.957,2.166,4.557
2,baseline,0,disabled,history-first,1000,20,1000,0,1.014,0.927,0.750,5.014,1.388,2.445
2,history_bound,1,disabled,history-first,1000,20,1000,0,1.196,1.078,0.895,6.715,1.817,3.009
3,baseline,0,disabled,baseline-first,1000,20,1000,0,1.053,0.950,0.782,9.983,1.516,2.377
3,history_bound,1,disabled,baseline-first,1000,20,1000,0,1.217,1.086,0.883,12.359,1.738,3.025
4,baseline,0,disabled,history-first,1000,20,1000,0,1.115,0.963,0.802,17.562,1.610,2.651
4,history_bound,1,disabled,history-first,1000,20,1000,0,1.202,1.079,0.895,9.607,1.771,2.707
5,baseline,0,disabled,baseline-first,1000,20,1000,0,0.954,0.868,0.726,4.194,1.365,1.953
5,history_bound,1,disabled,baseline-first,1000,20,1000,0,1.326,1.125,0.929,18.280,2.265,3.927
6,baseline,0,disabled,history-first,1000,20,1000,0,0.970,0.890,0.765,3.776,1.336,2.256
6,history_bound,1,disabled,history-first,1000,20,1000,0,1.232,1.111,0.882,10.340,1.841,3.384
7,baseline,0,disabled,baseline-first,1000,20,1000,0,1.001,0.895,0.745,4.082,1.469,2.787
7,history_bound,1,disabled,baseline-first,1000,20,1000,0,1.242,1.078,0.882,9.025,2.002,3.142
8,baseline,0,disabled,history-first,1000,20,1000,0,1.063,0.974,0.774,5.188,1.517,2.431
8,history_bound,1,disabled,history-first,1000,20,1000,0,1.207,1.090,0.905,8.036,1.790,3.041
9,baseline,0,disabled,baseline-first,1000,20,1000,0,1.047,0.915,0.743,12.339,1.679,2.403
9,history_bound,1,disabled,baseline-first,1000,20,1000,0,1.218,1.101,0.915,4.642,1.786,2.800
10,baseline,0,disabled,history-first,1000,20,1000,0,0.990,0.911,0.749,9.461,1.346,2.014
10,history_bound,1,disabled,history-first,1000,20,1000,0,1.407,1.143,0.893,82.054,2.281,3.992
