group,metric,trials,N_per_trial,warmup_per_case,pep_state_persistence,mean,median,min,max,stdev
baseline,avg_ms,10,1000,20,disabled,1.022900,1.018000,0.954000,1.115000,0.048033
history_bound,avg_ms,10,1000,20,disabled,1.256800,1.225000,1.196000,1.407000,0.070375
paired_delta_ms,avg_ms,10,1000,20,disabled,0.233900,0.211500,0.087000,0.417000,0.104814
baseline,median_ms,10,1000,20,disabled,0.921300,0.917500,0.868000,0.974000,0.033387
history_bound,median_ms,10,1000,20,disabled,1.097300,1.088000,1.078000,1.143000,0.022490
paired_delta_ms,median_ms,10,1000,20,disabled,0.176000,0.172500,0.116000,0.257000,0.048867
baseline,p95_ms,10,1000,20,disabled,1.478800,1.492500,1.336000,1.679000,0.118499
history_bound,p95_ms,10,1000,20,disabled,1.945700,1.829000,1.738000,2.281000,0.215255
paired_delta_ms,p95_ms,10,1000,20,disabled,0.466900,0.467000,0.107000,0.935000,0.289333
baseline,p99_ms,10,1000,20,disabled,2.371800,2.402000,1.953000,2.787000,0.253396
history_bound,p99_ms,10,1000,20,disabled,3.358400,3.091500,2.707000,4.557000,0.603600
paired_delta_ms,p99_ms,10,1000,20,disabled,0.986600,0.629000,0.056000,2.156000,0.774091
